Name,Address,Contact,M/c Model,Date_of_Installation,AMC_Upto_Date,AMC_Status,,
STATE BANK OF INDIA,"PBB, ND",john@example.com,GA-3211,04/04/2022,03/04/2023,Active,,
CANARA BANK,"FRAZER TOWN, BENGALURU",jane@example.com,X2200,08/04/2022,07/04/2023,Inactive,,24/07/2023
CANARA BANK,CHIKKABANAVARA,michael@example.com,INCASH 350,11/04/2022,10/04/2023,Active,,
CANARA BANK,CHIKKABANAVARA,sarah@example.com,X2200,13/04/2022,12/04/2023,Active,,
IR SYSTEMS & SERVICES,NEW DELHI,kevin@example.com,X2300,05/05/2022,04/05/2023,Inactive,,Active
PUNJAB NATIONAL BANK,MATHURA CC,alice@example.com,X7500,12/05/2022,11/05/2023,Active,,Inactive
CANARA BANK,BHARATHI NAGAR,robert@example.com,X2300,17/05/2022,16/05/2023,Inactive,,
CANARA BANK,BDA COMPLEX,emily@example.com,X2300,17/05/2022,16/05/2023,Active,,
CANARA BANK,DODBALLAPUR,david@example.com,X2300,19/05/2022,18/05/2023,Active,,
CANARA BANK,ELECTRONIC CITY,olivia@example.com,X2300,19/05/2022,18/05/2023,Inactive,,
CANARA BANK,VYALIKAVAL,james@example.com,X2300,19/05/2022,18/05/2023,Active,,
CANARA BANK,EAST WEST,emma@example.com,X2300,19/05/2022,18/05/2023,Inactive,,
CANARA BANK,MALAVALLI,william@example.com,X2300,19/05/2022,18/05/2023,Inactive,,
CANARA BANK,MAGADI,sophia@example.com,X2300,19/05/2022,18/05/2023,Inactive,,
WHITEPAPER INC,LAXMI NAGAR,benjamin@example.com,INCASH 350,20/05/2022,19/05/2023,Inactive,,
WHITEPAPER INC,LAXMI NAGAR,mia@example.com,INCASH 350,23/05/2022,22/05/2023,Inactive,,
PUNJAB NATIONAL BANK,RIWARA,ethan@example.com,CA 800,01/06/2022,31/05/2023,Inactive,,
STATE BANK OF INDIA,SEC 15 SONEPAT,ava@example.com,X2200,27/06/2022,26/06/2023,Inactive,,
STATE BANK OF INDIA,MOHANA,noah@example.com,X2200,27/06/2022,26/06/2023,Inactive,,
STATE BANK OF INDIA,MINI SEC,isabella@example.com,X2200,27/06/2022,26/06/2023,Inactive,,
CANARA BANK,SAMANDUR,elijah@example.com,X2200,30/06/2022,29/06/2023,Inactive,,
WHITEPAPER INC,NEW DELHI,amelia@example.com,INCASH 350,30/06/2022,29/06/2023,Inactive,,
CANARA BANK,T NARSIPURA,henry@example.com,X2200,30/06/2022,29/06/2023,Inactive,,
CANARA BANK,BAGEPALLI,harper@example.com,X2200,30/06/2022,29/06/2023,Inactive,,
CANARA BANK,CC YEDIYUR,evelyn@example.com,X2200,30/06/2022,29/06/2023,Inactive,,
CANARA BANK,SHANTI NAGAR,mokshwork@gmail.com,X2200,30/06/2022,29/06/2023,Inactive,,
CANARA BANK,LAXMIPURA CROSS,daniel@example.com,X2200,30/06/2022,29/06/2023,Inactive,,
WHITEPAPER INC,FARIDABAD,williamgomez@example.com,INCASH 350,14/07/2022,13/07/2023,Inactive,,
CANARA BANK,KAMMASANDRA,sophiadiaz@example.com,INCASH 350,25/07/2022,24/07/2023,Inactive,,
CANARA BANK,BIDRAGUPPE,benjaminross@example.com,INCASH 350,25/07/2022,24/07/2023,Inactive,,
CANARA BANK,PERIYAPATNA,chirag@gmail.com,INCASH 350,25/07/2022,24/07/2023,Inactive,,
CANARA BANK,MADALUR,sbi@gmail.com,INCASH 350,25/07/2022,24/07/2023,Inactive,,
